S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,
1,2022110701009898,AVYAN,14,26,20,774,15480.00,
2,2022110701009897,PPL,7,14,280,213,59640.00,
3,2022110701009896,PPL,49,14,120,213,25560.00,
4,2022110701009895,PPL,59,14,100,213.1,21310.00,
5,2022110703013175,FOWAD,49,8,10,2735,27350.00,
6,2022110705002746,JALPA,41,43,10,3645,36450.00,
7,2022110703013174,MDB,10,7,10,385.9,3859.00,
8,2022110703013173,GILB,58,36,10,1207,12070.00,
9,2022110703013172,MFIL,28,50,360,440.8,158688.00,
10,2022110704009293,AKPL,50,21,10,374.9,3749.00,
11,2022110703013171,NTC,34,59,50,880,44000.00,
12,2022110703013170,NTC,34,25,10,880,8800.00,
13,2022110703013169,GMFBS,52,34,10,825,8250.00,
14,2022110704009292,UMHL,7,49,106,250,26500.00,
15,2022110704009291,UMHL,7,21,200,249.9,49980.00,
16,2022110704009290,UMHL,7,49,500,248,124000.00,
17,2022110704009289,UMHL,7,59,124,248,30752.00,
18,2022110703013168,SIFC,54,4,10,329.9,3299.00,
19,2022110704009288,KKHC,58,52,30,183.5,5505.00,
20,2022110703013167,KSBBL,42,1,183,315.8,57791.40,
Page 1/1756 12345678910Next›Last»,
Total Amount Rs.,"2,109,163,384",
Total Quantity,"4,944,076",
